LOCATION,TIME,Value
DNK,2006,84.9749
DNK,2007,82.9604
DNK,2008,85.4588
DNK,2009,86.2344
DNK,2010,88.0249
DNK,2011,90.4412
DNK,2012,92.2643
DNK,2013,93.0825
DNK,2015,92.2751
DNK,2017,93.1369
DEU,2006,76.8558
DEU,2007,78.6466
DEU,2008,81.8193
DEU,2009,84.0926
DEU,2010,85.7406
DEU,2011,86.8648
DEU,2012,87.0997
DEU,2013,88.8744
DEU,2015,90.9926
DEU,2017,92.8656
ISL,2006,84.6127
ISL,2007,89.1498
ISL,2008,91.9216
ISL,2009,92.4591
ISL,2010,93.056
ISL,2011,94.66
ISL,2012,95.5166
ISL,2013,96.7106
ISL,2017,97.2972
JPN,2005,80.5
JPN,2006,80.8
JPN,2007,85
JPN,2008,85.9
JPN,2009,87.2
JPN,2010,83.4
JPN,2011,80
JPN,2012,77.9
JPN,2013,81.7
JPN,2014,78
JPN,2015,76.8
JPN,2016,73
JPN,2017,72.5
JPN,2018,74
JPN,2019,69.1
JPN,2020,70.1
JPN,2021,69.8
CZE,2006,39.0395
CZE,2007,43.3968
CZE,2008,52.4138
CZE,2009,59.5863
CZE,2010,64.0561
CZE,2011,69.8985
CZE,2012,74.558
CZE,2013,73.8672
CZE,2015,78.9377
CZE,2017,82.1815
FRA,2007,65.5494
FRA,2008,68.3557
FRA,2009,74.2203
FRA,2010,76.4499
FRA,2011,78.1792
FRA,2012,81.0122
FRA,2013,81.5595
FRA,2015,81.5481
FRA,2017,84.125
HUN,2006,48.804
HUN,2007,52.5651
HUN,2008,57.1866
HUN,2009,61.3626
HUN,2010,64.457
HUN,2011,67.8143
HUN,2012,69.7479
HUN,2013,71.3968
HUN,2015,74.9754
HUN,2017,79.6748
SVN,2006,65.2631
SVN,2007,65.9984
SVN,2008,65.1195
SVN,2009,71.2161
SVN,2010,70.4624
SVN,2011,74.4408
SVN,2012,76.1
SVN,2013,76.3561
SVN,2015,77.7509
SVN,2017,79.503
AUT,2006,67.0669
AUT,2007,70.7432
AUT,2008,75.9463
AUT,2009,74.4629
AUT,2010,76.1859
AUT,2011,78.0696
AUT,2012,81.3037
AUT,2013,80.8504
AUT,2015,82.1364
AUT,2017,85.3733
POL,2006,45.4124
POL,2007,53.6893
POL,2008,58.8728
POL,2009,66.0852
POL,2010,69.0212
POL,2011,71.3147
POL,2012,73.3677
POL,2013,74.7447
POL,2015,77.9378
POL,2017,81.7769
ESP,2006,55.8676
ESP,2007,58.9493
ESP,2008,62.1818
ESP,2009,65.1014
ESP,2010,67.4256
ESP,2011,70.328
ESP,2012,72.5888
ESP,2013,73.3335
ESP,2015,75.8652
ESP,2017,78.385
TUR,2007,27.3081
TUR,2008,33.3911
TUR,2009,37.4048
TUR,2010,44.2265
TUR,2012,50.2477
TUR,2013,49.8193
TUR,2015,50.5579
TUR,2017,49.9999
CHL,2006,34.5
CHL,2009,43.9
CHL,2012,68.27844113
CHL,2013,56.44182681
CHL,2014,60.29196034
CHL,2015,56.3965693
CHL,2016,63.62938219
CHL,2017,60.15454498
GRC,2006,36.7012
GRC,2007,40.1674
GRC,2008,44.0037
GRC,2009,47.3287
GRC,2010,53.3865
GRC,2011,57.2357
GRC,2012,56.7914
GRC,2013,59.5484
GRC,2015,68.5681
GRC,2017,70.5005
IRL,2006,58.5742
IRL,2007,65.4871
IRL,2008,70.3481
IRL,2009,72.8382
IRL,2010,76.464
IRL,2011,80.5599
IRL,2012,82.7459
IRL,2013,83.5992
IRL,2015,83.5441
IRL,2017,83.7578
KOR,2005,78.88403753
KOR,2006,79.59442265
KOR,2007,80.4474333
KOR,2008,80.92197818
KOR,2009,81.42711245
KOR,2010,81.842274
KOR,2011,81.88133549
KOR,2012,82.30762592
KOR,2013,80.60176181
KOR,2014,78.24889324
KOR,2015,77.06767599
KOR,2016,75.28630596
KOR,2017,74.70783801
KOR,2018,72.42437955
KOR,2019,71.74420913
KOR,2020,71.63291783
KOR,2021,73.55767319
KOR,2022,81.00548678
NLD,2006,80.039
NLD,2007,86.3036
NLD,2008,87.7319
NLD,2009,90.7532
NLD,2010,91.9733
NLD,2011,94.1582
NLD,2012,94.505
NLD,2013,95.1694
NLD,2015,96.2006
NLD,2017,97.6108
AUS,2005,70
AUS,2006,73
AUS,2007,75
AUS,2008,78
AUS,2010,82.57
AUS,2014,82.96
AUS,2016,82.44
CAN,2005,72
CAN,2006,75.4
CAN,2007,78.4
CAN,2008,79.4
CAN,2009,81.7
CAN,2010,82.6
CAN,2011,84.3
CAN,2012,84
CAN,2013,85.4
CAN,2014,84.3
CAN,2015,84.5
CAN,2016,84.1
CAN,2017,84.1
CAN,2019,83.2
FIN,2006,71.1027
FIN,2007,73.9631
FIN,2008,75.7674
FIN,2009,80.1388
FIN,2010,81.9856
FIN,2011,85.1187
FIN,2012,87.5615
FIN,2013,88.7494
FIN,2015,89.3321
FIN,2017,93.4973
USA,2010,74.87
USA,2011,75.57
USA,2012,78.87
USA,2013,72.03
MEX,2005,18.56
MEX,2006,20.62
MEX,2007,22.12
MEX,2008,25.65
MEX,2009,26.76
MEX,2010,29.79
MEX,2011,30.04
MEX,2012,32.19
MEX,2013,35.79285774
MEX,2014,38.29201478
MEX,2015,44.91111992
MEX,2016,45.59302965
MEX,2017,45.27047583
MEX,2018,44.65522167
MEX,2019,43.93961632
MEX,2020,43.75985664
MEX,2021,44.81552356
NOR,2006,75.3507
NOR,2007,82.4171
NOR,2008,85.8021
NOR,2009,87.5946
NOR,2010,90.9441
NOR,2011,90.9743
NOR,2012,91.8971
NOR,2013,93.2816
NOR,2015,96.4735
NOR,2017,94.9057
SVK,2006,50.0949
SVK,2007,55.4297
SVK,2008,63.2266
SVK,2009,64.0456
SVK,2010,72.1756
SVK,2011,75.4321
SVK,2012,78.8125
SVK,2013,80.0754
SVK,2015,80.4795
SVK,2017,81.7991
CHE,2005,76.5
CHE,2006,77.4
CHE,2007,79.2
CHE,2008,81.4
CHE,2009,82.5
CHE,2010,83.6
CHE,2011,84.89
CHE,2012,86.6
CHE,2013,88.6
CHE,2014,90.25
BRA,2008,24.6
BRA,2009,32.3
BRA,2010,34.9
BRA,2011,42.6
BRA,2012,45.8
BRA,2013,48.7
BRA,2014,50.5
BRA,2015,47.9
BRA,2016,46.1
BRA,2017,46.3
BRA,2018,41.75858235
BRA,2019,39.4
BRA,2020,45.38
BRA,2021,39.24
BRA,2022,39.39
ISR,2005,62.4
ISR,2006,65.8
ISR,2007,68.9
ISR,2008,71
ISR,2009,74.4
ISR,2010,76.7
ISR,2011,78.2
ISR,2012,80.38
ISR,2013,80.72
ISR,2014,81.25
ISR,2015,80.3
ISR,2016,78.08
ISR,2017,78.02
ISR,2018,76.85
ISR,2019,79.5
ISR,2020,80.6
ISR,2021,81
ITA,2006,51.5822
ITA,2007,53.3796
ITA,2008,55.9745
ITA,2009,61.2675
ITA,2010,64.8464
ITA,2011,66.1957
ITA,2012,67.0906
ITA,2013,71.1443
ITA,2015,72.5436
ITA,2017,72.502
LUX,2006,77.2517
LUX,2007,79.9669
LUX,2008,82.8419
LUX,2009,87.9317
LUX,2010,90.2148
LUX,2011,91.7325
LUX,2012,92.1312
LUX,2013,94.2733
LUX,2015,95.3357
LUX,2017,95.4483
PRT,2006,45.5876
PRT,2007,48.3165
PRT,2008,49.8432
PRT,2009,55.9881
PRT,2010,59.4949
PRT,2011,63.7269
PRT,2012,66.0973
PRT,2013,66.6784
PRT,2015,71.105
PRT,2017,71.4912
EST,2006,52.0362
EST,2007,56.4735
EST,2008,58.8312
EST,2009,64.0047
EST,2010,68.3044
EST,2011,70.0402
EST,2012,74.3429
EST,2013,78.9933
EST,2015,87.8821
EST,2017,86.909
OECD,2006,60.75102512
OECD,2007,63.30519815
OECD,2008,65.05813662
OECD,2009,68.38704624
OECD,2010,71.0849378
OECD,2011,72.9692496
OECD,2012,75.72766857
OECD,2013,76.53464698
OECD,2014,76.63334335
OECD,2015,78.08041221
OECD,2016,78.01238519
OECD,2017,79.34510592
OECD,2018,78.83989145
OECD,2019,78.56916301
OECD,2020,78.52580148
BEL,2006,57.5354
BEL,2007,67.1963
BEL,2008,70.0005
BEL,2009,71.1498
BEL,2010,76.7229
BEL,2011,78.8848
BEL,2012,80.3305
BEL,2013,81.8651
BEL,2015,82.0915
BEL,2017,85.1191
SWE,2006,82.4821
SWE,2007,82.8719
SWE,2008,87.0993
SWE,2009,87.5799
SWE,2010,89.5021
SWE,2011,91.5874
SWE,2012,92.2936
SWE,2013,91.8984
SWE,2015,88.25
SWE,2017,92.8164
GBR,2006,71.4986
GBR,2007,75.3778
GBR,2008,78.0062
GBR,2009,81.1916
GBR,2010,82.5671
GBR,2011,84.5598
GBR,2012,87.2189
GBR,2013,88.2038
GBR,2015,89.8955
GBR,2017,91.6684
NZL,2006,72
NZL,2009,80
NZL,2012,78
LVA,2006,40.648
LVA,2007,49.2205
LVA,2008,56.6547
LVA,2009,60.111
LVA,2010,62.7755
LVA,2011,64.3118
LVA,2012,69.5155
LVA,2013,71.7196
LVA,2015,76.1467
LVA,2017,77.3898
LTU,2006,39.8406
LTU,2007,46.2723
LTU,2008,52.0273
LTU,2009,57.344
LTU,2010,59.2287
LTU,2011,60.2072
LTU,2012,62.1365
LTU,2013,65.8774
LTU,2015,67.6401
LTU,2017,73.0092
COL,2008,13.12344786
COL,2009,14.93281006
COL,2010,19.23383476
COL,2011,23.35388017
COL,2012,38.51754906
COL,2013,42.17471877
COL,2014,44.4665857
COL,2015,45.5
COL,2016,45.20757813
COL,2018,41.60826519
COL,2019,37.1666571
COL,2021,37.8785221
CRI,2005,27
CRI,2006,28.19843139
CRI,2007,31.62
CRI,2008,34.429729
CRI,2009,38.00768838
CRI,2010,43.02952752
CRI,2011,47.16346917
CRI,2012,50.76078945
CRI,2013,52.61342006
CRI,2014,52.30559341
CRI,2015,53.16449879
CRI,2016,51.66615595
CRI,2017,51.02967609
CRI,2018,50.42008949
CRI,2019,49.93197779
CRI,2020,50.51957372
CRI,2021,52.82680577
BGR,2006,21.2542
BGR,2007,23.3274
BGR,2008,28.5963
BGR,2009,31.6638
BGR,2010,35.0702
BGR,2011,46.7838
BGR,2012,52.335
BGR,2013,54.8699
BGR,2015,59.0368
BGR,2017,62.9594
HRV,2007,49.4688
HRV,2008,52.9291
HRV,2009,54.7163
HRV,2010,60.0096
HRV,2011,64.0024
HRV,2012,68.0044
HRV,2013,66.2512
HRV,2015,76.7849
HRV,2017,74.0697
ROU,2006,25.9019
ROU,2007,33.9985
ROU,2008,37.8326
ROU,2009,45.6555
ROU,2010,47.8928
ROU,2011,51.1868
ROU,2012,56.7133
ROU,2013,61.2245
ROU,2015,68.692
ROU,2017,72.9994
EGY,2019,64.00000246
EGY,2020,70.2315027
